Time,Cell,F,lickpoint,licking,bitepoint
102.4180663,C06,2.72227,0,0,0
102.5179864,C06,0.02881499,0,0,0
102.6179065,C06,-0.1575142,0,0,0
102.7178265,C06,0.622555,0,0,0
102.8177466,C06,-0.08229607,0,0,0
102.9176667,C06,-2.091165,0,0,0
103.0175867,C06,-0.556706,0,0,0
103.1175068,C06,2.742064,0,0,0
103.2174269,C06,0.2492412,0,0,0
103.3173469,C06,-0.06816915,0,0,0
103.417267,C06,0.4861214,0,0,0
103.517187,C06,-1.688664,0,0,0
103.6171071,C06,-1.180742,0,0,0
103.7170272,C06,-1.8931,0,0,0
103.8169472,C06,0.08497334,0,0,0
103.9168673,C06,1.069281,0,0,0
104.0167874,C06,0.6752723,0,0,0
104.1167074,C06,-1.000731,0,0,0
104.2166275,C06,-1.464683,0,0,0
104.3165476,C06,-1.437163,0,0,0
104.4164676,C06,1.024483,0,0,0
104.5163877,C06,0.1291747,0,0,0
104.6163078,C06,0.2298709,0,0,0
104.7162278,C06,-1.065593,0,0,0
104.8161479,C06,0.4300687,0,0,0
104.916068,C06,0.8911248,0,0,0
105.015988,C06,0.3380119,0,0,0
105.1159081,C06,-0.3533837,0,0,0
105.2158281,C06,0.2932983,0,0,0
105.3157482,C06,-0.08747478,0,0,0
105.4156683,C06,-1.323099,0,0,0
105.5155883,C06,0.2054085,0,0,0
105.6155084,C06,2.681641,0,0,0
105.7154285,C06,0.4327074,0,0,0
105.8153485,C06,0.7936932,0,0,0
105.9152686,C06,3.237807,0,0,0
106.0151887,C06,3.338467,0,0,0
106.1151087,C06,1.24629,0,0,0
106.2150288,C06,1.838595,0,0,0
106.3149489,C06,-0.01320224,0,0,0
106.4148689,C06,-0.7570241,0,0,0
106.514789,C06,0.857971,0,0,0
106.6147091,C06,-0.758615,0,0,0
106.7146291,C06,1.577404,0,0,0
106.8145492,C06,2.734905,0,0,0
106.9144692,C06,1.786808,0,0,0
107.0143893,C06,3.565383,0,0,0
107.1143094,C06,1.594859,0,0,0
107.2142294,C06,1.641922,0,0,0
107.3141495,C06,2.006083,0,0,0
107.4140696,C06,0.06052883,0,0,0
107.5139896,C06,0.1984883,0,0,0
107.6139097,C06,1.633701,0,0,0
107.7138298,C06,0.298897,0,0,0
107.8137498,C06,-0.6360949,0,0,0
107.9136699,C06,1.469925,0,0,0
108.01359,C06,0.8390817,0,0,0
108.11351,C06,1.181727,0,0,0
108.2134301,C06,2.082951,0,0,0
108.3133502,C06,3.071472,0,0,0
108.4132702,C06,1.261218,0,0,0
108.5131903,C06,1.159904,0,0,0
108.6131103,C06,10.11781,0,0,0
108.7130304,C06,10.47219,0,0,0
108.8129505,C06,4.482894,0,0,0
108.9128705,C06,3.803893,0,0,0
109.0127906,C06,4.352307,0,0,0
109.1127107,C06,4.464415,0,0,0
109.2126307,C06,3.343377,0,0,0
109.3125508,C06,5.731615,0,0,0
109.4124709,C06,3.39756,0,0,0
109.5123909,C06,3.833455,0,0,0
109.612311,C06,3.4994,0,0,0
109.7122311,C06,2.986712,0,0,0
109.8121511,C06,3.078292,0,0,0
109.9120712,C06,1.549922,0,0,0
110.0119913,C06,3.655644,0,0,0
110.1119113,C06,3.905766,0,0,0
110.2118314,C06,2.280313,0,0,0
110.3117514,C06,4.03345,0,0,0
110.4116715,C06,3.007638,0,0,0
110.5115916,C06,3.127652,0,0,0
110.6115116,C06,2.000865,0,0,0
110.7114317,C06,1.863407,0,0,0
110.8113518,C06,6.347445,0,0,0
110.9112718,C06,5.928292,0,0,0
111.0111919,C06,4.720119,0,0,0
111.111112,C06,6.366742,0,0,0
111.211032,C06,5.481998,0,0,0
111.3109521,C06,5.123732,0,0,0
111.4108722,C06,3.001587,0,0,0
111.5107922,C06,2.208436,0,0,0
111.6107123,C06,2.631384,0,0,0
111.7106324,C06,1.876199,0,0,0
111.8105524,C06,2.449993,0,0,0
111.9104725,C06,3.92776,0,0,0
112.0103925,C06,2.799493,0,0,0
112.1103126,C06,4.663986,0,0,0
112.2102327,C06,4.808259,0,0,0
112.3101527,C06,4.02529,0,0,0
112.4100728,C06,4.3419,0,0,0
112.5099929,C06,3.446015,0,0,0
112.6099129,C06,1.304983,0,0,0
112.709833,C06,2.737472,0,0,0
112.8097531,C06,3.304315,0,0,0
112.9096731,C06,0.412116,0,0,0
113.0095932,C06,2.841311,0,0,0
113.1095133,C06,1.396955,0,0,0
113.2094333,C06,0.02113583,0,0,0
113.3093534,C06,0.8824885,0,0,0
113.4092735,C06,2.684139,0,0,0
113.5091935,C06,1.597149,0,0,0
113.6091136,C06,2.842541,0,0,0
113.7090336,C06,1.023089,0,0,0
113.8089537,C06,1.941873,0,0,0
113.9088738,C06,1.361336,0,0,0
114.0087938,C06,0.7866073,0,0,0
114.1087139,C06,1.012872,0,0,0
114.208634,C06,0.9666803,0,0,0
114.308554,C06,0.222185,0,0,0
114.4084741,C06,1.463759,0,0,0
114.5083942,C06,0.05427841,0,0,0
114.6083142,C06,-0.6621946,0,0,0
114.7082343,C06,0.1377997,0,0,0
114.8081544,C06,0.7310571,0,0,0
114.9080744,C06,1.679916,0,0,0
115.0079945,C06,0.9687405,0,0,0
115.1079146,C06,0.9354184,0,0,0
115.2078346,C06,1.280918,0,0,0
115.3077547,C06,2.64714,0,0,0
115.4076747,C06,3.13296,0,0,0
115.5075948,C06,0.6865004,0,0,0
115.6075149,C06,1.25768,0,0,0
115.7074349,C06,2.069004,0,0,0
115.807355,C06,-1.074498,0,0,0
115.9072751,C06,0.5537905,0,0,0
116.0071951,C06,0.6552429,0,0,0
116.1071152,C06,0.7826572,0,0,0
116.2070353,C06,0.9640542,0,0,0
116.3069553,C06,0.09689173,0,0,0
116.4068754,C06,3.335482,0,0,0
116.5067955,C06,1.435151,0,0,0
116.6067155,C06,0.8941561,0,0,0
116.7066356,C06,1.225435,0,0,0
116.8065557,C06,1.278194,0,0,0
116.9064757,C06,0.1079937,0,0,0
117.0063958,C06,1.722229,0,0,0
117.1063158,C06,0.9846159,0,0,0
117.2062359,C06,2.212372,0,0,0
117.306156,C06,0.7977742,0,0,0
117.406076,C06,0.5202021,0,0,0
117.5059961,C06,1.831026,0,0,0
117.6059162,C06,1.254762,0,0,0
117.7058362,C06,-0.4847088,0,0,0
117.8057563,C06,0.8038118,0,0,0
117.9056764,C06,0.01714383,0,0,0
118.0055964,C06,2.851207,0,0,0
118.1055165,C06,1.663636,0,0,0
118.2054366,C06,0.4862033,0,0,0
118.3053566,C06,-0.3512715,0,0,0
118.4052767,C06,-0.05777163,0,0,0
118.5051968,C06,0.9432719,0,0,0
118.6051168,C06,2.432341,0,0,0
118.7050369,C06,2.195204,0,0,0
118.8049569,C06,1.328407,0,0,0
118.904877,C06,0.4151025,0,0,0
119.0047971,C06,-0.2563011,0,0,0
119.1047171,C06,-1.820655,0,0,0
119.2046372,C06,0.03904467,0,0,0
119.3045573,C06,-0.4516897,0,0,0
119.4044773,C06,0.7565567,0,0,0
119.5043974,C06,0.341581,0,0,0
119.6043175,C06,0.6916241,0,0,0
119.7042375,C06,-0.9125227,1,0,1
119.8041576,C06,-0.6846934,0,0,0
119.9040777,C06,1.308021,0,0,0
120.0039977,C06,-0.3018819,0,0,0
120.1039178,C06,1.203035,0,0,0
120.2038379,C06,0.9088602,0,0,0
120.3037579,C06,4.065195,0,0,0
120.403678,C06,5.059771,0,0,0
120.503598,C06,4.409363,0,0,0
120.6035181,C06,5.515014,0,0,0
120.7034382,C06,3.389697,0,0,0
120.8033582,C06,3.08134,0,0,0
120.9032783,C06,1.678222,0,0,0
121.0031984,C06,2.198293,0,0,0
121.1031184,C06,2.317322,0,0,0
121.2030385,C06,2.43033,0,0,0
121.3029586,C06,1.30695,0,0,0
121.4028786,C06,2.827125,0,0,0
121.5027987,C06,2.083117,0,0,0
121.6027188,C06,-0.6729788,0,0,0
121.7026388,C06,0.773867,0,0,0
121.8025589,C06,0.4853157,0,0,0
121.902479,C06,2.036588,0,0,0
122.002399,C06,1.033654,0,0,0
122.1023191,C06,2.505352,0,0,0
122.2022391,C06,0.8074662,0,0,0
122.3021592,C06,1.988696,0,0,0
122.4020793,C06,0.9187996,0,0,0
122.5019993,C06,-0.4755657,0,0,0
122.6019194,C06,0.6939465,0,0,0
122.7018395,C06,0.1317919,0,0,0
122.8017595,C06,1.196342,0,0,0
122.9016796,C06,1.168416,0,0,0
123.0015997,C06,-0.42154,0,0,0
123.1015197,C06,0.01509997,0,0,0
123.2014398,C06,1.909121,0,0,0
123.3013599,C06,1.899966,0,0,0
123.4012799,C06,2.269356,0,0,0
123.5012,C06,0.8467889,0,0,0
123.6011201,C06,-0.5378261,0,0,0
123.7010401,C06,-1.37379,0,0,0
123.8009602,C06,1.043323,0,0,0
123.9008802,C06,0.5564547,0,0,0
124.0008003,C06,1.895911,0,0,0
124.1007204,C06,0.3085525,0,0,0
124.2006404,C06,0.4301691,0,0,0
124.3005605,C06,0.3368266,0,0,0
124.4004806,C06,0.4343572,0,0,0
124.5004006,C06,-0.4581248,0,0,0
124.6003207,C06,0.1718571,0,0,0
124.7002408,C06,-0.2795772,0,0,0
124.8001608,C06,1.393118,0,0,0
124.9000809,C06,1.276901,0,0,0
125.000001,C06,-1.700413,0,0,0
125.099921,C06,-0.7038779,0,0,0
125.1998411,C06,-1.176131,0,0,0
125.2997612,C06,0.1108897,0,0,0
125.3996812,C06,-0.7641782,0,0,0
125.4996013,C06,-0.8327029,0,0,0
125.5995213,C06,-0.0265646,0,0,0
125.6994414,C06,1.037496,0,0,0
125.7993615,C06,0.6309154,0,0,0
125.8992815,C06,-0.06467947,0,0,0
125.9992016,C06,-1.214629,0,0,0
126.0991217,C06,-1.104798,0,0,0
126.1990417,C06,0.4795376,0,0,0
126.2989618,C06,-0.509352,0,0,0
126.3988819,C06,-2.168424,0,0,0
126.4988019,C06,-1.423944,0,0,0
126.598722,C06,-2.057484,0,0,0
126.6986421,C06,0.4656289,0,0,0
126.7985621,C06,0.1547128,0,0,0
126.8984822,C06,1.228806,0,0,0
126.9984023,C06,2.663142,0,0,0
127.0983223,C06,2.110404,0,0,0
127.1982424,C06,0.4007769,0,0,0
127.2981624,C06,1.7952,0,0,0
127.3980825,C06,0.6420336,0,0,0
127.4980026,C06,0.8650799,0,0,0
127.5979226,C06,-0.2820578,0,0,0
127.6978427,C06,-1.146646,0,0,0
127.7977628,C06,-1.212706,0,0,0
127.8976828,C06,-0.8407824,0,0,0
127.9976029,C06,0.4786271,0,0,0
128.097523,C06,-0.7314414,0,0,0
128.197443,C06,-0.3478641,0,0,0
128.2973631,C06,0.5320292,0,0,0
128.3972832,C06,-0.007883153,0,0,0
128.4972032,C06,0.1348201,0,0,0
128.5971233,C06,0.4629953,0,0,0
128.6970434,C06,0.2119204,0,0,0
128.7969634,C06,0.3671379,0,0,0
128.8968835,C06,0.5582781,0,0,0
128.9968035,C06,0.06484509,0,0,0
129.0967236,C06,1.271353,0,0,0
129.1966437,C06,0.5714776,0,0,0
129.2965637,C06,-0.3268524,0,0,0
129.3964838,C06,1.031296,0,0,0
129.4964039,C06,1.73868,0,0,0
129.5963239,C06,-0.2330594,0,0,0
129.696244,C06,-0.0492702,0,0,0
129.7961641,C06,2.799636,0,0,0
129.8960841,C06,1.742527,0,0,0
129.9960042,C06,0.7475173,0,0,0
130.0959243,C06,1.328771,0,0,0
130.1958443,C06,0.5565352,0,0,0
130.2957644,C06,-0.6700536,0,0,0
130.3956845,C06,-1.321258,0,0,0
130.4956045,C06,-0.4005766,0,0,0
130.5955246,C06,-1.062414,0,0,0
130.6954446,C06,-0.6696959,0,0,0
130.7953647,C06,-0.2950236,0,0,0
130.8952848,C06,-2.320741,0,0,0
130.9952048,C06,1.349835,0,0,0
131.0951249,C06,0.2227671,0,0,0
131.195045,C06,3.614662,0,0,0
131.294965,C06,1.07307,0,0,0
131.3948851,C06,1.314238,0,0,0
131.4948052,C06,-0.4887411,0,0,0
131.5947252,C06,-0.3528421,0,0,0
131.6946453,C06,1.575729,0,0,0
131.7945654,C06,0.3759151,0,0,0
131.8944854,C06,-1.63068,0,0,0
131.9944055,C06,-1.18197,0,0,0
132.0943256,C06,2.590785,0,0,0
132.1942456,C06,2.811899,0,0,0
132.2941657,C06,2.810127,0,0,0
132.3940857,C06,1.170418,0,0,0
132.4940058,C06,1.655301,0,0,0
132.5939259,C06,0.9768043,0,0,0
132.6938459,C06,-0.03108634,0,0,0
132.793766,C06,-0.4576257,0,0,0
132.8936861,C06,0.1990138,0,0,0
132.9936061,C06,0.8368433,0,0,0
133.0935262,C06,0.4095403,0,0,0
133.1934463,C06,-0.9055213,0,0,0
133.2933663,C06,-0.15909,0,0,0
133.3932864,C06,0.1499224,0,0,0
133.4932065,C06,1.066011,0,0,0
133.5931265,C06,0.2465718,0,0,0
133.6930466,C06,-0.2775655,0,0,0
133.7929667,C06,-0.8889636,0,0,0
133.8928867,C06,-0.6865649,0,0,0
133.9928068,C06,-1.367176,0,0,0
134.0927268,C06,-0.5547546,0,0,0
134.1926469,C06,-0.8068225,0,0,0
134.292567,C06,1.37574,0,0,0
134.392487,C06,-0.3618427,0,0,0
134.4924071,C06,0.3043091,0,0,0
134.5923272,C06,1.158441,0,0,0
134.6922472,C06,-1.922313,0,0,0
134.7921673,C06,-2.398421,0,0,0
134.8920874,C06,-0.1336832,0,0,0
134.9920074,C06,-1.151616,0,0,0
135.0919275,C06,-1.120672,0,0,0
135.1918476,C06,-0.4188745,0,0,0
135.2917676,C06,-1.409407,0,0,0
135.3916877,C06,0.3518557,0,0,0
135.4916078,C06,-0.6680773,0,0,0
135.5915278,C06,1.868458,0,0,0
135.6914479,C06,0.2706936,0,0,0
135.7913679,C06,3.533498,0,0,0
135.891288,C06,3.510703,0,0,0
135.9912081,C06,0.9792187,0,0,0
136.0911281,C06,1.415754,0,0,0
136.1910482,C06,2.468744,0,0,0
136.2909683,C06,2.689159,0,0,0
136.3908883,C06,0.8315373,0,0,0
136.4908084,C06,-0.05045229,0,0,0
136.5907285,C06,0.7489184,0,0,0
136.6906485,C06,1.407852,0,0,0
136.7905686,C06,1.402805,0,0,0
136.8904887,C06,1.797369,0,0,0
136.9904087,C06,0.3254642,0,0,0
137.0903288,C06,1.015456,0,0,0
137.1902489,C06,0.8143153,0,0,0
137.2901689,C06,1.468271,0,0,0
137.390089,C06,-2.365403,0,0,0
137.490009,C06,-0.5509683,0,0,0
137.5899291,C06,-0.000264032,0,0,0
137.6898492,C06,0.2165356,0,0,0
137.7897692,C06,-1.303207,0,0,0
137.8896893,C06,0.7141439,0,0,0
137.9896094,C06,-0.1325663,0,0,0
138.0895294,C06,0.00751088,0,0,0
138.1894495,C06,1.88848,0,0,0
138.2893696,C06,1.797749,0,0,0
138.3892896,C06,0.5754223,0,0,0
138.4892097,C06,0.8264685,0,0,0
138.5891298,C06,2.131895,0,0,0
138.6890498,C06,0.2718083,0,0,0
138.7889699,C06,-1.471579,0,0,0
138.88889,C06,-0.4252767,0,0,0
138.98881,C06,1.310374,0,0,0
139.0887301,C06,2.502379,0,0,0
139.1886501,C06,0.9896245,0,0,0
139.2885702,C06,-0.6310926,0,0,0
139.3884903,C06,2.178134,0,0,0
139.4884103,C06,0.2159634,0,0,0
139.5883304,C06,0.6337799,0,0,0
139.6882505,C06,-0.369666,0,0,0
139.7881705,C06,2.004648,0,0,0
139.8880906,C06,2.180797,0,0,0
139.9880107,C06,1.812613,0,0,0
140.0879307,C06,2.17391,0,0,0
140.1878508,C06,1.925207,0,0,0
140.2877709,C06,0.8453631,0,0,0
140.3876909,C06,-0.04919278,0,0,0
140.487611,C06,0.544108,0,0,0
140.5875311,C06,1.21367,0,0,0
140.6874511,C06,0.9412503,0,0,0
140.7873712,C06,-0.3306352,0,0,0
140.8872912,C06,-0.1342064,1,0,1
140.9872113,C06,3.553527,0,0,0
141.0871314,C06,-0.05823075,0,0,0
141.1870514,C06,-0.5180457,0,0,0
141.2869715,C06,-0.330499,0,0,0
141.3868916,C06,1.569786,0,0,0
141.4868116,C06,-1.545285,0,0,0
141.5867317,C06,0.06566489,0,0,0
141.6866518,C06,-0.4606817,0,0,0
141.7865718,C06,-0.285964,0,0,0
141.8864919,C06,0.5185105,0,0,0
141.986412,C06,1.637302,0,0,0
142.086332,C06,0.5676855,0,0,0
142.1862521,C06,1.526762,0,0,0
142.2861722,C06,-0.4658719,0,0,0
142.3860922,C06,2.130249,0,0,0
142.4860123,C06,0.894046,0,0,0
142.5859323,C06,0.5823885,0,0,0
142.6858524,C06,-0.1430333,0,0,0
142.7857725,C06,-2.301376,0,0,0
142.8856925,C06,3.132721,0,0,0
142.9856126,C06,0.1844539,0,0,0
143.0855327,C06,-1.186436,0,0,0
143.1854527,C06,-1.158246,0,0,0
143.2853728,C06,-1.108377,0,0,0
143.3852929,C06,3.299343,0,0,0
143.4852129,C06,1.740729,0,0,0
143.585133,C06,1.821849,0,0,0
143.6850531,C06,2.368428,0,0,0
143.7849731,C06,3.516835,0,0,0
143.8848932,C06,0.6153412,0,0,0
143.9848133,C06,1.637102,0,0,0
144.0847333,C06,4.832286,0,0,0
144.1846534,C06,3.523709,0,0,0
144.2845734,C06,5.190913,0,0,0
144.3844935,C06,3.715464,0,0,0
144.4844136,C06,3.854072,0,0,0
144.5843336,C06,2.106675,0,0,0
144.6842537,C06,1.089677,0,0,0
144.7841738,C06,1.667824,0,0,0
144.8840938,C06,1.12657,0,0,0
144.9840139,C06,1.201819,0,0,0
145.083934,C06,0.02764691,0,0,0
145.183854,C06,4.213902,0,0,0
145.2837741,C06,2.251222,0,0,0
145.3836942,C06,2.250004,0,0,0
145.4836142,C06,1.147462,0,0,0
145.5835343,C06,0.261829,0,0,0
145.6834544,C06,0.6228263,0,0,0
145.7833744,C06,1.882335,0,0,0
145.8832945,C06,3.678398,0,0,0
145.9832145,C06,1.25742,0,0,0
146.0831346,C06,2.991952,0,0,0
146.1830547,C06,3.966479,0,0,0
146.2829747,C06,0.3983829,0,0,0
146.3828948,C06,0.5859011,0,0,0
146.4828149,C06,0.8782098,0,0,0
146.5827349,C06,1.30497,0,0,0
146.682655,C06,0.8492977,0,0,0
146.7825751,C06,1.555338,0,0,0
146.8824951,C06,1.127682,0,0,0
146.9824152,C06,2.049148,0,0,0
147.0823353,C06,2.580611,0,0,0
147.1822553,C06,1.694023,0,0,0
147.2821754,C06,2.732693,0,0,0
147.3820955,C06,1.314112,0,0,0
147.4820155,C06,4.05363,0,0,0
147.5819356,C06,2.537072,0,0,0
147.6818556,C06,1.281251,0,0,0
147.7817757,C06,1.163954,0,0,0
147.8816958,C06,1.79202,0,0,0
147.9816158,C06,2.004073,0,0,0
148.0815359,C06,0.8485159,0,0,0
148.181456,C06,0.7639228,0,0,0
148.281376,C06,1.25835,0,0,0
148.3812961,C06,0.6776944,0,0,0
148.4812162,C06,1.095358,0,0,0
148.5811362,C06,0.9090543,0,0,0
148.6810563,C06,0.2470731,0,0,0
148.7809764,C06,0.8681085,0,0,0
148.8808964,C06,1.151101,0,0,0
148.9808165,C06,0.7111291,0,0,0
149.0807366,C06,-0.1645179,0,0,0
149.1806566,C06,2.246711,0,0,0
149.2805767,C06,0.1730635,0,0,0
149.3804967,C06,0.663755,0,0,0
149.4804168,C06,-1.95922,0,0,0
149.5803369,C06,-0.3301487,0,0,0
149.6802569,C06,2.620879,0,0,0
149.780177,C06,1.269816,0,0,0
149.8800971,C06,1.37459,0,0,0
149.9800171,C06,0.0268344,0,0,0
150.0799372,C06,1.71375,0,0,0
150.1798573,C06,0.5664037,0,0,0
150.2797773,C06,1.906712,0,0,0
150.3796974,C06,1.883099,0,0,0
150.4796175,C06,2.729277,0,0,0
150.5795375,C06,0.2464129,0,0,0
150.6794576,C06,0.6717449,0,0,0
150.7793777,C06,1.523208,0,0,0
150.8792977,C06,1.43862,0,0,0
150.9792178,C06,1.840534,0,0,0
151.0791378,C06,1.772729,0,0,0
151.1790579,C06,1.072733,0,0,0
151.278978,C06,1.846589,0,0,0
151.378898,C06,-1.791273,0,0,0
151.4788181,C06,0.909255,0,0,0
151.5787382,C06,3.214909,0,0,0
151.6786582,C06,1.212086,0,0,0
151.7785783,C06,0.7871225,0,0,0
151.8784984,C06,1.818049,0,0,0
151.9784184,C06,1.176054,0,0,0
152.0783385,C06,0.5550888,0,0,0
152.1782586,C06,0.9125417,0,0,0
152.2781786,C06,2.521757,0,0,0
152.3780987,C06,0.7874886,0,0,0
152.4780188,C06,-0.1530674,0,0,0
152.5779388,C06,0.1430179,0,0,0
152.6778589,C06,3.48852,0,0,0
152.7777789,C06,2.45024,0,0,0
152.877699,C06,1.59116,0,0,0
152.9776191,C06,1.590676,0,0,0
153.0775391,C06,0.6747222,0,0,0
153.1774592,C06,0.5393277,0,0,0
153.2773793,C06,0.4183285,0,0,0
153.3772993,C06,-0.2444646,0,0,0
153.4772194,C06,-0.9888149,0,0,0
153.5771395,C06,-0.2364814,0,0,0
153.6770595,C06,0.8189178,0,0,0
153.7769796,C06,-0.404776,0,0,0
153.8768997,C06,-0.2038928,0,0,0
153.9768197,C06,-1.470797,0,0,0
154.0767398,C06,3.179551,0,0,0
154.1766599,C06,4.639352,0,0,0
154.2765799,C06,1.01265,0,0,0
154.3765,C06,0.00081986,0,0,0
154.47642,C06,1.580554,0,0,0
154.5763401,C06,1.070189,0,0,0
154.6762602,C06,-0.5432085,0,0,0
154.7761802,C06,0.5703481,0,0,0
154.8761003,C06,-0.1218332,0,0,0
154.9760204,C06,1.761501,0,0,0
155.0759404,C06,1.021163,0,0,0
155.1758605,C06,1.389465,0,0,0
155.2757806,C06,1.361766,0,0,0
155.3757006,C06,0.2404586,0,0,0
155.4756207,C06,2.349011,0,0,0
155.5755408,C06,-0.4504837,0,0,0
155.6754608,C06,3.443484,0,0,0
155.7753809,C06,3.1524,0,0,0
155.875301,C06,1.315571,0,0,0
155.975221,C06,1.022259,0,0,0
156.0751411,C06,1.127499,0,0,0
156.1750611,C06,1.497293,0,0,0
156.2749812,C06,1.239677,0,0,0
156.3749013,C06,-0.3775571,0,0,0
156.4748213,C06,2.291011,0,0,0
156.5747414,C06,-0.01243584,0,0,0
156.6746615,C06,0.829271,0,0,0
156.7745815,C06,-0.1412311,0,0,0
156.8745016,C06,-0.6864733,0,0,0
156.9744217,C06,1.300338,0,0,0
157.0743417,C06,3.501883,0,0,0
157.1742618,C06,1.111781,0,0,0
157.2741819,C06,0.3145401,0,0,0
157.3741019,C06,-0.6933016,0,0,0
157.474022,C06,-0.4108715,0,0,0
157.5739421,C06,0.4718793,0,0,0
157.6738621,C06,0.2584129,0,0,0
157.7737822,C06,10.74605,0,0,0
157.8737022,C06,15.00438,0,0,0
157.9736223,C06,10.82078,0,0,0
158.0735424,C06,7.294644,0,0,0
158.1734624,C06,7.359649,0,0,0
158.2733825,C06,4.188701,0,0,0
158.3733026,C06,6.784631,0,0,0
158.4732226,C06,4.834221,0,0,0
158.5731427,C06,6.064172,0,0,0
158.6730628,C06,3.480096,0,0,0
158.7729828,C06,4.316319,0,0,0
158.8729029,C06,4.215503,0,0,0
158.972823,C06,3.248257,0,0,0
159.072743,C06,2.672106,0,0,0
159.1726631,C06,1.633572,0,0,0
159.2725832,C06,4.505911,0,0,0
159.3725032,C06,3.861754,0,0,0
159.4724233,C06,2.866024,0,0,0
159.5723433,C06,1.932296,0,0,0
159.6722634,C06,0.9837252,0,0,0
159.7721835,C06,-0.2696986,0,0,0
159.8721035,C06,-0.4514569,0,0,0
159.9720236,C06,-0.6361057,0,0,0
160.0719437,C06,-0.3433264,0,0,0
160.1718637,C06,-0.4102758,0,0,0
160.2717838,C06,0.5747957,0,0,0
160.3717039,C06,0.5256081,0,0,0
160.4716239,C06,1.320363,0,0,0
160.571544,C06,1.26908,0,0,0
160.6714641,C06,1.621672,0,0,0
160.7713841,C06,1.020112,0,0,0
160.8713042,C06,1.299951,0,0,0
160.9712243,C06,1.26778,0,0,0
161.0711443,C06,-0.1063333,0,0,0
161.1710644,C06,2.282257,0,0,0
