Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
1.798565701754386,C2,5.364855,0,0,0,0,1.0
1.898486018518519,C2,3.278692,0,0,0,0,1.0
1.998406335282651,C2,1.094545,0,0,0,0,1.0
2.098326652046784,C2,4.250311,0,0,0,0,1.0
2.198246968810916,C2,5.748726,0,0,0,0,1.0
2.298167285575049,C2,6.081361,0,0,0,0,1.0
2.398087602339182,C2,4.055489,0,0,0,0,1.0
2.498007919103314,C2,4.443438,0,0,0,0,1.0
2.597928235867446,C2,4.510819,0,0,0,0,1.0
2.697848552631579,C2,2.504552,0,0,0,0,1.0
2.797768869395711,C2,3.281803,0,0,0,0,1.0
2.897689186159844,C2,3.666246,0,0,0,0,1.0
2.997609502923976,C2,3.179592,0,0,0,0,1.0
3.097529819688109,C2,1.514199,0,0,0,0,1.0
3.197450136452242,C2,2.181085,0,0,0,0,1.0
3.297370453216374,C2,0.3279734,0,0,0,0,1.0
3.397290769980507,C2,1.959645,0,0,0,0,1.0
3.49721108674464,C2,0.4243373,0,0,0,0,1.0
3.597131403508772,C2,2.258241,0,0,0,0,1.0
3.697051720272905,C2,0.7624944,0,0,0,0,1.0
3.796972037037037,C2,-1.129382,0,0,0,0,1.0
3.896892353801169,C2,0.2528698,0,0,0,0,1.0
3.996812670565302,C2,1.778927,0,0,0,0,1.0
4.096732987329434,C2,1.510587,0,0,0,0,1.0
4.196653304093568,C2,6.682552,0,0,0,0,1.0
4.2965736208577,C2,5.741232,0,0,0,0,1.0
4.396493937621832,C2,3.360873,0,0,0,0,1.0
4.496414254385965,C2,2.01955,0,0,0,0,1.0
4.596334571150098,C2,2.131483,0,0,0,0,1.0
4.69625488791423,C2,1.609901,0,0,0,0,1.0
4.796175204678363,C2,1.368335,0,0,0,0,1.0
4.896095521442495,C2,1.438642,0,0,0,0,1.0
4.996015838206628,C2,3.558022,0,0,0,0,1.0
5.09593615497076,C2,1.80761,0,0,0,0,1.0
5.195856471734893,C2,0.9174331,0,0,0,0,1.0
5.295776788499025,C2,0.1584422,0,0,0,0,1.0
5.395697105263157,C2,1.187631,0,0,0,0,1.0
5.495617422027291,C2,2.050171,0,0,0,0,1.0
5.595537738791423,C2,1.869162,0,0,0,0,1.0
5.695458055555555,C2,2.829534,0,0,0,0,1.0
5.795378372319688,C2,4.099804,0,0,0,0,1.0
5.895298689083821,C2,2.909722,0,0,0,0,1.0
5.995219005847953,C2,1.802267,0,0,0,0,1.0
6.095139322612086,C2,0.1663778,0,0,0,0,1.0
6.195059639376218,C2,-0.6514899,0,0,0,0,1.0
6.294979956140351,C2,-1.605336,0,0,0,0,1.0
6.394900272904484,C2,0.4359581,0,0,0,0,1.0
6.494820589668616,C2,0.5907143,0,0,0,0,1.0
6.594740906432748,C2,3.57015,0,0,0,0,1.0
6.694661223196881,C2,5.394447,0,0,0,0,1.0
6.794581539961014,C2,3.478478,0,0,0,0,1.0
6.894501856725146,C2,0.7152883,0,0,0,0,1.0
6.994422173489279,C2,0.3840278,0,0,0,0,1.0
7.094342490253411,C2,1.531974,0,0,0,0,1.0
7.194262807017544,C2,4.310112,0,0,0,0,1.0
7.294183123781677,C2,4.12508,0,0,0,0,1.0
7.394103440545809,C2,4.398661,0,0,0,0,1.0
7.494023757309941,C2,3.223662,0,0,0,0,1.0
7.593944074074074,C2,2.873094,0,0,0,0,1.0
7.693864390838207,C2,0.4951887,0,0,0,0,1.0
7.793784707602339,C2,1.870385,0,0,0,0,1.0
7.893705024366472,C2,1.767717,0,0,0,0,1.0
7.993625341130604,C2,2.27037,0,0,0,0,1.0
8.093545657894737,C2,1.798889,0,0,0,0,1.0
8.193465974658869,C2,2.936534,0,0,0,0,1.0
8.293386291423001,C2,2.482272,0,0,0,0,1.0
8.393306608187135,C2,1.635389,0,0,0,0,1.0
