Time,Cell,F,lick,lickpoint
145.3836378161648,C07,9.366283,0,0
145.4835578421553,C07,11.36163,0,0
145.5834778681458,C07,21.71146,0,0
145.6833978941363,C07,33.67329,0,0
145.7833179201268,C07,28.60533,0,0
145.8832379461173,C07,24.23189,0,0
145.9831579721078,C07,21.68064,0,0
146.0830779980982,C07,18.86822,0,0
146.1829980240888,C07,17.5646,0,0
146.2829180500792,C07,15.01179,0,0
146.3828380760697,C07,13.73058,0,0
146.4827581020602,C07,12.52103,0,0
146.5826781280507,C07,13.24993,0,0
146.6825981540412,C07,11.43763,0,0
146.7825181800317,C07,8.607688,0,0
146.8824382060222,C07,6.381941,0,0
146.9823582320127,C07,8.847099,0,0
147.0822782580032,C07,7.216795,0,0
147.1821982839937,C07,5.752436,0,0
147.2821183099842,C07,6.667947,0,0
147.3820383359746,C07,6.416728,0,0
147.4819583619651,C07,6.689677,0,0
147.5818783879556,C07,8.531363,0,0
147.6817984139461,C07,6.715782,0,0
147.7817184399366,C07,6.003407,0,0
147.8816384659271,C07,6.155085,0,0
147.9815584919176,C07,5.688159,0,0
148.0814785179081,C07,6.590306,0,0
148.1813985438986,C07,5.319123,0,0
148.2813185698891,C07,3.888501,0,0
148.3812385958796,C07,4.664973,0,0
148.48115862187,C07,2.918716,0,0
148.5810786478606,C07,2.488153,0,0
148.680998673851,C07,2.939598,0,0
148.7809186998415,C07,1.979676,0,0
148.880838725832,C07,1.112012,0,0
148.9807587518225,C07,0.03442165,0,0
149.080678777813,C07,-0.3818155,0,0
149.1805988038035,C07,2.035753,0,0
149.280518829794,C07,0.4800936,0,0
149.3804388557845,C07,1.893999,0,0
149.4803588817749,C07,1.821681,0,0
149.5802789077655,C07,0.7769032,0,0
149.6801989337559,C07,0.3230786,0,0
149.7801189597464,C07,0.0127072,0,0
149.8800389857369,C07,0.5958899,0,0
149.9799590117274,C07,2.428993,0,0
150.0798790377179,C07,1.042127,0,0
150.1797990637084,C07,-0.1355594,0,0
150.2797190896989,C07,-0.1485088,0,0
150.3796391156894,C07,0.1913171,0,0
150.4795591416799,C07,-0.3106387,0,0
150.5794791676704,C07,-0.03830925,0,0
150.6793991936609,C07,1.060185,0,0
150.7793192196513,C07,2.349426,0,0
150.8792392456418,C07,2.460573,0,0
150.9791592716323,C07,2.510389,0,0
151.0790792976228,C07,4.257811,0,0
151.1789993236133,C07,3.939586,0,0
151.2789193496038,C07,6.109007,0,0
151.3788393755943,C07,6.088996,0,0
151.4787594015848,C07,5.907718,0,0
151.5786794275753,C07,5.561563,0,0
151.6785994535658,C07,7.462566,0,0
151.7785194795563,C07,6.573496,0,0
151.8784395055467,C07,6.848187,0,0
151.9783595315373,C07,6.669884,0,0
152.0782795575277,C07,11.60943,0,0
152.1781995835182,C07,12.98492,0,0
152.2781196095087,C07,14.64412,0,0
152.3780396354992,C07,10.95175,0,0
152.4779596614897,C07,15.01112,0,0
152.5778796874802,C07,23.95764,0,0
152.6777997134707,C07,33.45768,0,0
152.7777197394612,C07,30.61428,0,0
152.8776397654517,C07,30.28987,0,0
152.9775597914422,C07,33.69147,0,0
153.0774798174326,C07,28.54171,0,0
153.1773998434231,C07,24.13445,0,0
153.2773198694136,C07,23.2714,0,0
153.3772398954041,C07,19.84526,0,0
153.4771599213946,C07,15.89382,0,0
153.5770799473851,C07,15.61617,0,0
153.6769999733756,C07,12.57081,0,0
153.7769199993661,C07,11.07063,0,0
153.8768400253566,C07,10.83997,0,0
153.9767600513471,C07,8.529618,0,0
154.0766800773376,C07,6.868495,0,0
154.176600103328,C07,5.353534,0,0
154.2765201293186,C07,4.035786,0,0
154.376440155309,C07,2.603806,0,0
154.4763601812995,C07,2.399348,0,0
154.57628020729,C07,1.889877,0,0
154.6762002332805,C07,1.783,0,0
154.776120259271,C07,2.682989,0,0
154.8760402852615,C07,3.243082,0,0
154.975960311252,C07,2.939967,0,0
155.0758803372425,C07,-0.3947086,0,0
155.175800363233,C07,2.254408,0,0
155.2757203892235,C07,2.57256,0,0
155.375640415214,C07,3.155428,0,0
155.4755604412044,C07,2.495095,0,0
155.5754804671949,C07,2.758045,0,0
155.6754004931854,C07,3.303871,0,0
155.7753205191759,C07,3.935415,0,0
155.8752405451664,C07,2.961142,0,0
155.9751605711569,C07,1.376206,0,0
156.0750805971474,C07,1.02617,0,0
156.1750006231379,C07,1.022468,0,0
156.2749206491284,C07,0.5644182,0,0
156.3748406751189,C07,-0.3542324,0,0
156.4747607011093,C07,-0.3892128,0,0
156.5746807270998,C07,-0.08647842,0,0
156.6746007530903,C07,0.3957421,0,0
156.7745207790808,C07,-0.5304484,0,0
156.8744408050713,C07,-0.9185497,0,0
156.9743608310618,C07,-0.7686114,0,0
157.0742808570523,C07,-0.5470785,0,0
157.1742008830428,C07,0.246046,0,0
157.2741209090333,C07,-0.0514471,0,0
157.3740409350238,C07,-0.8556383,0,0
157.4739609610143,C07,-1.579633,0,0
157.5738809870047,C07,0.6178976,0,0
157.6738010129953,C07,0.4377842,0,0
157.7737210389857,C07,-0.0971031,0,0
157.8736410649762,C07,-0.1245094,0,0
157.9735610909667,C07,-0.3897965,0,0
158.0734811169572,C07,-0.2080191,0,0
158.1734011429477,C07,-2.064783,0,0
158.2733211689382,C07,-1.675667,0,0
158.3732411949287,C07,-2.597714,0,0
158.4731612209192,C07,-1.689225,0,0
158.5730812469097,C07,-1.064877,0,0
158.6730012729002,C07,-1.437512,0,0
158.7729212988907,C07,-0.5301169,0,0
158.8728413248811,C07,0.4503535,0,0
158.9727613508716,C07,1.760034,0,0
159.0726813768621,C07,1.733448,0,0
159.1726014028526,C07,1.83615,0,0
159.2725214288431,C07,3.027847,0,0
159.3724414548336,C07,6.257873,0,0
159.4723614808241,C07,6.598027,0,0
159.5722815068146,C07,6.027631,0,0
159.6722015328051,C07,5.612915,0,0
159.7721215587956,C07,3.954791,0,0
159.872041584786,C07,4.035168,0,0
159.9719616107765,C07,5.006148,0,0
160.071881636767,C07,4.179881,0,0
160.1718016627575,C07,3.759287,0,0
160.271721688748,C07,2.798607,0,0
160.3716417147385,C07,2.348663,0,0
160.471561740729,C07,1.923146,0,0
160.5714817667195,C07,3.42457,0,0
160.67140179271,C07,1.749974,0,0
160.7713218187005,C07,1.033537,0,0
160.871241844691,C07,2.613059,0,0
160.9711618706815,C07,2.459927,0,0
161.071081896672,C07,1.666919,0,0
161.1710019226624,C07,1.253518,0,0
161.2709219486529,C07,0.8372692,0,0
161.3708419746434,C07,0.5135667,0,0
161.4707620006339,C07,1.449246,0,0
161.5706820266244,C07,0.3450384,0,0
161.6706020526149,C07,1.01071,0,0
161.7705220786054,C07,3.431098,0,0
161.8704421045959,C07,3.99352,0,0
161.9703621305864,C07,2.331761,0,0
162.0702821565769,C07,4.118847,0,0
162.1702021825674,C07,3.152263,0,0
162.2701222085578,C07,4.657385,0,0
162.3700422345483,C07,3.743384,0,0
162.4699622605388,C07,4.647862,0,0
162.5698822865293,C07,3.899105,0,0
162.6698023125198,C07,3.746962,0,0
162.7697223385103,C07,3.613423,0,0
162.8696423645008,C07,2.926775,0,0
162.9695623904913,C07,2.712204,0,0
163.0694824164818,C07,3.261194,0,0
163.1694024424723,C07,3.350461,0,0
163.2693224684627,C07,4.014874,0,0
163.3692424944533,C07,5.089774,0,0
163.4691625204437,C07,2.887847,0,0
163.5690825464342,C07,3.956968,0,0
163.6690025724247,C07,3.489704,0,0
163.7689225984152,C07,2.116215,0,0
163.8688426244057,C07,2.511502,0,0
163.9687626503962,C07,2.639828,0,0
164.0686826763867,C07,2.308359,0,0
164.1686027023772,C07,3.095114,0,0
164.2685227283677,C07,2.2301,0,0
164.3684427543582,C07,3.725613,0,0
164.4683627803487,C07,3.280476,0,0
164.5682828063391,C07,4.516156,0,0
164.6682028323296,C07,2.818798,0,0
164.7681228583201,C07,4.350157,0,0
164.8680428843106,C07,3.097795,0,0
164.9679629103011,C07,3.400047,0,0
165.0678829362916,C07,2.778492,0,0
165.1678029622821,C07,3.657346,0,0
165.2677229882726,C07,2.493331,0,0
165.3676430142631,C07,2.271081,0,0
165.4675630402536,C07,3.75626,0,0
165.5674830662441,C07,2.240469,0,0
165.6674030922345,C07,3.059879,0,0
165.7673231182251,C07,1.735595,0,0
165.8672431442155,C07,2.475384,0,0
165.967163170206,C07,0.8670372,0,0
166.0670831961965,C07,1.027849,0,0
166.167003222187,C07,2.589789,0,0
166.2669232481775,C07,1.212595,0,0
166.366843274168,C07,0.03168409,0,0
166.4667633001585,C07,-0.9531114,0,0
166.566683326149,C07,-0.923048,0,0
166.6666033521395,C07,-0.2793663,0,0
166.76652337813,C07,0.983456,0,0
166.8664434041204,C07,2.406034,0,0
166.9663634301109,C07,2.832138,0,0
167.0662834561014,C07,0.85037,0,0
167.1662034820919,C07,0.3766444,0,0
167.2661235080824,C07,0.9285261,0,0
167.3660435340729,C07,1.283906,0,0
167.4659635600634,C07,2.911912,0,0
167.5658835860539,C07,2.414453,0,0
167.6658036120444,C07,5.488695,0,0
167.7657236380349,C07,3.155723,0,0
167.8656436640254,C07,5.957167,0,0
167.9655636900158,C07,5.955659,0,0
168.0654837160063,C07,4.353239,0,0
168.1654037419968,C07,2.668513,0,0
168.2653237679873,C07,3.230799,0,0
168.3652437939778,C07,2.531258,0,0
168.4651638199683,C07,0.9551007,0,0
168.5650838459588,C07,1.773915,0,0
168.6650038719493,C07,2.625998,0,0
168.7649238979398,C07,3.379227,0,0
168.8648439239303,C07,3.09831,0,0
168.9647639499208,C07,2.538717,0,0
169.0646839759113,C07,2.640922,0,0
169.1646040019018,C07,2.065948,0,0
169.2645240278922,C07,3.11153,0,0
169.3644440538827,C07,3.75087,0,0
169.4643640798732,C07,3.643969,0,0
169.5642841058637,C07,3.570476,0,0
169.6642041318542,C07,5.656882,0,0
169.7641241578447,C07,2.712798,0,0
169.8640441838352,C07,1.701251,0,0
169.9639642098257,C07,1.015762,0,0
170.0638842358162,C07,2.768575,0,0
170.1638042618067,C07,1.338122,0,0
170.2637242877971,C07,1.563604,0,0
170.3636443137876,C07,0.3309867,0,0
170.4635643397781,C07,1.174471,0,0
170.5634843657686,C07,1.940207,0,0
170.6634043917591,C07,1.335014,0,0
170.7633244177496,C07,1.226449,0,0
170.8632444437401,C07,0.3533093,0,0
170.9631644697306,C07,-0.1668185,0,0
171.0630844957211,C07,0.8288931,0,0
171.1630045217116,C07,0.4993406,0,0
171.2629245477021,C07,1.44303,0,0
171.3628445736925,C07,1.073726,0,0
171.4627645996831,C07,0.2101336,0,0
171.5626846256735,C07,0.2010536,0,0
171.662604651664,C07,0.4763825,0,0
171.7625246776545,C07,-0.08577906,0,0
171.862444703645,C07,-0.1208818,0,0
171.9623647296355,C07,0.4653508,0,0
172.062284755626,C07,0.7577364,0,0
172.1622047816165,C07,1.095782,0,0
172.262124807607,C07,1.69714,0,0
172.3620448335975,C07,0.9482116,0,0
172.461964859588,C07,1.676609,0,0
172.5618848855785,C07,1.131728,0,0
172.6618049115689,C07,2.737153,0,0
172.7617249375594,C07,1.726527,0,0
172.8616449635499,C07,0.7366399,0,0
172.9615649895404,C07,-0.3954428,0,0
173.0614850155309,C07,3.180082,0,0
173.1614050415214,C07,3.656059,0,0
173.2613250675119,C07,3.996334,0,0
173.3612450935024,C07,3.036178,0,0
173.4611651194929,C07,2.249367,0,0
