Time,Cell,F,bite,bitepoint,biting,lickpoint
71.74262965,C26,-1.233493,0,0,0,0
71.84254975,C26,-0.5499648,0,0,0,0
71.94246984,C26,0.8195207,0,0,0,0
72.04238994,C26,2.236501,0,0,0,0
72.14231004,C26,0.3065704,0,0,0,0
72.24223013,C26,0.6643602,0,0,0,0
72.34215023,C26,-0.8759145,0,0,0,0
72.44207033,C26,1.840886,0,0,0,0
72.54199042,C26,1.055185,0,0,0,0
72.64191052,C26,0.6495063,0,0,0,0
72.74183062,C26,1.096475,0,0,0,0
72.84175072,C26,0.2406462,0,0,0,0
72.94167081,C26,0.1543364,0,0,0,0
73.04159091,C26,2.209933,0,0,0,0
73.14151101,C26,0.510227,0,0,0,0
73.2414311,C26,2.905314,0,0,0,0
73.3413512,C26,3.467251,0,0,0,0
73.4412713,C26,3.51336,0,0,0,0
73.54119139,C26,1.084597,0,0,0,0
73.64111149,C26,-0.1354656,0,0,0,0
73.74103159,C26,0.5265906,0,0,0,0
73.84095169,C26,3.889138,0,0,0,0
73.94087178,C26,5.541886,0,0,0,0
74.04079188,C26,6.258996,0,0,0,0
74.14071198,C26,4.70329,0,0,0,0
74.24063207,C26,0.3809057,0,0,0,0
74.34055217,C26,1.234721,0,0,0,0
74.44047227,C26,0.9036676,0,0,0,0
74.54039236,C26,-0.3509012,0,0,0,0
74.64031246,C26,2.121011,0,0,0,0
74.74023256,C26,2.030725,0,0,0,0
74.84015266,C26,0.9629196,0,0,0,0
74.94007275,C26,1.962822,0,0,0,0
75.03999285,C26,1.293918,0,0,0,0
75.13991295,C26,0.601363,0,0,0,0
75.23983304,C26,0.6874478,0,0,0,0
75.33975314,C26,-0.07570177,0,0,0,0
75.43967324,C26,2.26037,0,0,0,0
75.53959333,C26,6.467574,0,0,0,0
75.63951343,C26,5.876647,0,0,0,0
75.73943353,C26,3.089693,0,0,0,0
75.83935363,C26,3.971532,0,0,0,0
75.93927372,C26,7.24077,0,0,0,0
76.03919382,C26,6.341631,0,0,0,0
76.13911392,C26,5.414564,0,0,0,0
76.23903401,C26,4.271095,0,0,0,0
76.33895411,C26,3.752143,0,0,0,0
76.43887421,C26,4.751243,0,0,0,0
76.5387943,C26,4.168365,0,0,0,0
76.6387144,C26,4.036768,0,0,0,0
76.7386345,C26,2.156082,0,0,0,0
76.8385546,C26,-2.660287,0,0,0,0
76.93847469,C26,0.2319178,0,0,0,0
77.03839479,C26,-0.5785413,0,0,0,0
77.13831489,C26,-1.607282,0,0,0,0
77.23823498,C26,1.507223,0,0,0,0
77.33815508,C26,0.1429567,0,0,0,0
77.43807518,C26,3.62599,0,0,0,0
77.53799527,C26,3.797925,0,0,0,0
77.63791537,C26,0.806643,0,0,0,0
77.73783547,C26,1.971821,0,0,0,0
77.83775557,C26,4.029436,0,0,0,0
77.93767566,C26,2.316223,0,0,0,0
