active_number,total_number,group
11,39,"('2099', 'water')"
26,39,"('2099', 'water')"
12,12,"('2107', 'chocolate')"
10,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
6,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
9,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
8,11,"('2107', 'quinine')"
8,11,"('2107', 'quinine')"
9,11,"('2107', 'quinine')"
4,7,"('2107', 'strawberry')"
4,7,"('2107', 'strawberry')"
5,7,"('2107', 'strawberry')"
7,7,"('2107', 'strawberry')"
5,7,"('2107', 'strawberry')"
8,20,"('2107', 'vanilla')"
14,20,"('2107', 'vanilla')"
16,20,"('2107', 'vanilla')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
3,4,"('2107', 'water')"
4,4,"('2107', 'water')"
3,4,"('2107', 'water')"
4,4,"('2107', 'water')"
10,18,"('3118', 'chocolate')"
12,18,"('3118', 'chocolate')"
7,18,"('3118', 'chocolate')"
8,18,"('3118', 'chocolate')"
7,18,"('3118', 'chocolate')"
10,18,"('3118', 'chocolate')"
14,18,"('3118', 'chocolate')"
5,18,"('3118', 'chocolate')"
6,18,"('3118', 'chocolate')"
9,18,"('3118', 'chocolate')"
10,18,"('3118', 'chocolate')"
6,15,"('3118', 'quinine')"
7,15,"('3118', 'quinine')"
23,28,"('3118', 'strawberry')"
19,28,"('3118', 'strawberry')"
12,28,"('3118', 'strawberry')"
19,28,"('3118', 'strawberry')"
10,28,"('3118', 'strawberry')"
17,28,"('3118', 'strawberry')"
4,15,"('3118', 'vanilla')"
14,15,"('3118', 'vanilla')"
9,15,"('3118', 'vanilla')"
12,15,"('3118', 'vanilla')"
12,17,"('3118', 'water')"
11,17,"('3118', 'water')"
7,17,"('3118', 'water')"
6,7,"('3141', 'chocolate')"
4,7,"('3141', 'chocolate')"
5,7,"('3141', 'chocolate')"
6,7,"('3141', 'chocolate')"
5,7,"('3141', 'chocolate')"
4,7,"('3141', 'chocolate')"
4,7,"('3141', 'chocolate')"
5,9,"('3141', 'quinine')"
4,9,"('3141', 'quinine')"
4,9,"('3141', 'quinine')"
6,9,"('3141', 'quinine')"
6,9,"('3141', 'quinine')"
8,10,"('3141', 'strawberry')"
5,10,"('3141', 'strawberry')"
6,10,"('3141', 'strawberry')"
6,8,"('3141', 'vanilla')"
8,8,"('3141', 'vanilla')"
5,8,"('3141', 'vanilla')"
4,9,"('3141', 'water')"
14,25,"('3152', 'chocolate')"
11,25,"('3152', 'chocolate')"
19,25,"('3152', 'chocolate')"
19,25,"('3152', 'chocolate')"
20,25,"('3152', 'chocolate')"
16,25,"('3152', 'chocolate')"
31,42,"('3152', 'quinine')"
34,42,"('3152', 'quinine')"
26,42,"('3152', 'quinine')"
23,42,"('3152', 'quinine')"
36,42,"('3152', 'quinine')"
30,42,"('3152', 'quinine')"
18,19,"('3152', 'strawberry')"
16,19,"('3152', 'strawberry')"
15,19,"('3152', 'strawberry')"
17,19,"('3152', 'strawberry')"
15,19,"('3152', 'strawberry')"
17,19,"('3152', 'strawberry')"
17,23,"('3152', 'vanilla')"
10,23,"('3152', 'vanilla')"
16,23,"('3152', 'vanilla')"
12,23,"('3152', 'vanilla')"
11,23,"('3152', 'vanilla')"
12,21,"('3152', 'water')"
